resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_cadence,average_heartrate,max_heartrate,average_temp
2,5k en realidad,4718.0,1767,2800,10.2,Run,Run,0.0,11309458781,2024-05-01T16:44:19Z,2024-05-01T19:44:19Z,(GMT+02:00) Europe/Bucharest,10800.0,,,Spain,0,4,0,1,0,False,False,False,False,everyone,False,,"[46.185590364038944, 21.307657258585095]","[46.18553680367768, 21.307032722979784]",2.67,4.768,False,False,False,113.5,105.2,12080744116.0,12080744116,91A0E67F-4BBD-4113-A4AC-17075E8816B7-activity.fit,False,0,3,False,41979529,1,a11309458781,us{xGaiaaCGSIKIe@EE[s@]aAGCOy@IKC@ESKKCQGMYw@MQEI?MMKEQ?GYg@Mg@?GHGHSHCj@s@`BaBPY`@g@HCBEb@U`@a@`@[\a@F?BAHBAARUJU?SEEG]AWOaA@SBGEc@@YPsANk@FGDc@La@f@wAHk@NYAGJ]JUBOZ_AFe@DCAGHYDY@ALg@BWJM@WJg@b@qAJQD[JWB[FWBAHi@DE@UNYBUL[H[DANk@BC?OLUB@f\cLVh@f@pADDTn@LVPP?VDDDN@LLN?FRp@BDH@Xd@BA@DV\LBLPXTJNPJD?NRDBDHABC?GWBEPDX^NBLFHHL@LJPFD?LD@AVFJJXNHAXTF@@BF@DGNALNLDH@FAd@HNF\BDFD@BAP?DDN?LJJ@L?H@p@CJ@FCf@HLETBXGd@@XAJBZBh@AHD@FPFFEF@TEH?HB@GFAj@DDCP?JCf@APBTMNBTPD@\C?TM\BZEFDXE\DTAf@Bd@?f@KJu@@GECDg@?K@CBWAi@F[CW@e@G_@BGCSFAJQXWKGGE@o@KI?QFCEIAQ@[IUHIh@BPHL@j@EPMT?JJDFd@G`@Fv@QDKXFV@ZHPILBV?AE`@DPkCKk@c@OEYQk@Ia@]WAIKQEKWEYIIk@a@qAo@EBEJMd@CDAJGVA@C?EGI?MEGMEDGAGBOGCEIBMII?GKu@a@MAOK]KGKG@m@UK?CGiC_AGBGREBSf@Cf@Oj@Wd@APQXALIREj@Qr@Gb@IPMDYx@iCzJMr@EFA\INEZKVMPEXGNOj@MNC`@Kj@]v@Ov@@HAFGFoE~J]_@E?GFAFUNe@j@MVAPOb@IFGTKFICODO?o@b@E?OFOLAH@XANENEBQ?OGGEIDQBg@M,2,,,,,,,
2,5k Rumano 🇷🇴,5590.3,2143,2399,20.3,Run,Run,0.0,11255344915,2024-04-24T16:49:59Z,2024-04-24T19:49:59Z,(GMT+02:00) Europe/Bucharest,10800.0,,,Spain,0,6,0,1,0,False,False,False,False,everyone,False,,"[46.18561953306198, 21.307351319119334]","[46.185584999620914, 21.30744938738644]",2.609,4.464,False,False,False,114.5,105.3,12024842316.0,12024842316,A9CFE519-ACEC-4EAC-8E02-2D4CAA271E35-activity.fit,False,0,5,False,41979529,1,a11255344915,{i{xGw~`aCVFPCTJP@LAHMB[?SDM^QXIPM`@KZWTk@Fg@?M@IREPIJSRUt@LDCD@LKRYZs@ZeAPOLQBI@UFa@JK@[FWNY@UFYL[?GHe@FCDO@OBMBC?KBQTy@DUFUHCHo@FIHc@L_@DEF[DEBGJGFi@FQDWDE?KDCPc@B[CK@]d@}ALWBODE?INYDGDe@L_@B]Tq@Lo@HS^c@L_@DG@WF?DEHc@PSJ_@HGBe@CQF@BAN@PFLLHAHDDJLDL?JRJAFDPBNHNBFFZHLHDHD@JALHL@DHDBHA`@P?@T@HHn@TDLLJvDoOF]B}@BQEIKCGWRuAH{@AOb@mDLgBAIMMCM^`@JA?AH@LFFJRNtAj@h@P`ALf@CJG[Fe@@r@?DELBPCT?|@Gv@Ad@GNEL?HEFY?_DBk@Jg@t@Wd@GPBDCVYBIJBJLRB\?NIHBLC?BJIP@HN@LAD@\EVBLGHHHJRAVQZ@HPZBh@CbK@bAAPAx@@rBBhACJOFOCW@KC?CDAKF?Da@BEEQFMAc@D[Am@DEAA@WC[HSCU@KEG?EGWBYCK@WG[?EE]FECGDE?@FE`@@LCd@BV@DCDAZDRCH@h@Ol@@TCb@Ib@?@FD?HBDCd@DTCJF\@VCF?D?JBBARENMBAAAFMCEG_@IEKUMMOA@]YICIM[Q?IOIEGG?IG_@GQUMIIAWME?Wc@_Ai@O]IEUCi@UE?GFMp@EBATEPE@QASMQCIQQ?SCEEI?ECCIEEE@GECFGKe@WI?MMK@EKGAEBWOIAEEE?GOYIGOM?QEKGWGKGQGIIC?GFUp@Mn@OZSh@MPOf@Yl@KL]x@CPGLAVDr@Uz@C\Qn@O\Md@KbAMV[b@GTAXK\AJQ^GVYRCHBLEXBHQd@EVEHEN@DCRMPKt@@FYh@Eb@Qj@CPE@KJGT?PKb@?JITGb@Q\AH@FGP@BEPEFG`@EFKEI@GHMTKn@OLG@MIGHEEWIMKE@GXKTGFMCCBQ\GLS|@SGALEDGAEFQCSZOHQFQJGLGBIj@ILOJKDWEI@KC,2,,,,,,,
2,k caló,20722.2,8108,12064,692.2,Ride,MountainBikeRide,10.0,10978004039,2024-03-17T08:18:47Z,2024-03-17T09:18:47Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,13,5,0,2,0,False,False,False,False,everyone,False,b12395701,"[41.461672615259886, 2.2488331887871027]","[41.46202465519309, 2.2498834412544966]",2.556,12.934,False,False,False,460.6,47.4,11736745260.0,11736745260,EC536650-EF9A-4F65-804D-BD590D7E28B7-activity.fit,False,2,0,False,41979529,1,a10978004039,cy`|F{quLlCvEJl@aBt@gA@gAhAcDZeAK}Ah@oCdCgD|A_DbEI~@dA`DpAlD|@jA~@|Bt@tCb@JKBLf@oAl@k@x@s@B}FzDsCdEoA~CgHnGyCvAkCb@u@SaArBA^|Af@`@l@fANf@z@eAbAcCxGwCzEoBpHKxBwArBeBnAoEvBuAf@oAcA{Aj@oBGaAi@Si@YeGJDAs@T{@sBe@y@NgIfKa@OcAZuBhADLeACsA`A[u@k@]cFtAkDBmBk@gCJkAo@_Ec@oEwIyEgEu@_D[g@_CcA[\L?KO_@^eBIQ_@qF{DeEwEeAsBYoAXuBu@cA_@aBi@y@Gb@Np@?fBaCxAOh@Fn@r@lAz@zCv@fA@PU@`AjE@`DUrDaAEeA`@KqBk@a@E]cB_AYy@a@?]i@FeCsAkBC}AL_Ai@wFmBw@\yACk@qB_FnAuBrBADUO}@@{A}A_DWaBJ{@O]?gBOE]wAm@IeBiAu@AqCcAcDqCgCg@k@uAUIc@Rm@`B\fBMR_AY_@{B\uApAeAb@AvN|A`CrARS_@gBVeCyFqEDw@tB{@`AyAc@kBAyAqBaBSaBh@o@jAU|AsArCrBnDpD\Ej@s@lASe@oD\oB|CaCSoBoAaGJwA\u@d@OpDzAnAE?yDyAkK?aCLQOINFAB_BgBEs@z@sCn@YuByCa@IaA{AmAk@eB{BoAe@sCBcA_@w@yAuAkA{C_HmAqBwDs@uDeCWiByAyEaBwAiAyBBe@Ui@_AIaByAw@FITo@Ak@Iq@s@sAaC@gBr@wAFkAeAcFHyCd@QXr@|@r@jAd@o@VhApAbAOObAv@PCf@r@NTG@t@g@l@jAPt@l@@b@YCA`@|@V^Ur@r@`Cj@t@[hCDXa@h@|B`CpB|@w@?Y^U`@y@jDGvB_ANe@b@GhAcA`@r@z@ZXzAd@F|Bc@nCA~@{@`Cn@jBq@z@Z~@u@fFw@hCyB~CiAhDaE`F{A`Au@lE?rBiAdBS|GtAnBSdAUjByA~DeAdD_BRPPjCl@bCg@xO`@vE^^tAs@`BZdA|@V~AeArEBdCfAtBh@\bAA`AbBHp@SpBB~@lAtClAjIGQEl@H|@j@pBp@~@@f@n@f@vDfAjHErErDzEnBvD`@vLOfCfDh@nDvBjFpCIrBdB|C?,2,154.3,1251.2,False,,,,
2,🏃🏼‍♀️🏃🏼‍♀️🏃🏼‍♀️,9949.4,4416,6764,174.1,Ride,MountainBikeRide,10.0,10915687988,2024-03-08T10:14:22Z,2024-03-08T11:14:22Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,2,2,0,1,0,False,False,False,False,everyone,False,b12395701,"[41.46206966601312, 2.249829461798072]","[41.46168954670429, 2.2473951056599617]",2.253,8.61,False,False,False,149.2,37.2,11672028488.0,11672028488,877F5B88-DBC7-4B21-A1A1-8F52D5FD82AA-activity.fit,False,0,3,False,41979529,1,a10915687988,yea|FqlvLi@?i@CKVBTOPWIUHORc@jAq@`@Ub@wA^wAjAYj@CTW\MFQVcDpICb@h@jB?\`@pA^`BdBxEhAvBBf@b@n@kBdCL`@CJGFAPNf@|ArDLl@h@pAJECXuBhBNt@QPK@aAxAE\Db@J^aAdAoAdBc@t@CJFR`AhABJCh@OJMZOL{@tAUf@GX@BMJWz@{@x@{AhAoCjBCH]ZoAz@kCl@QNi@GQGAIICm@xASr@NPdARx@|@l@D`@PR\N@Lj@fCHLf@@^Pv@X\D`@NT^VN?FBEAAHn@`Bp@|CRj@RX\|AHFLhAOtAPX?b@Mb@k@`AYPs@Xi@Jk@b@g@NMNARN\PjAEZQ`@?LNVl@Dj@Z~Dj@VZ|AfDl@b@GXDHGJ@LGJEACPEEHEq@DSGe@m@ADO]KKEU[Yg@Ea@TeAbAy@l@Y`@Sh@SZy@r@EJWJc@d@Sn@?n@Ij@@TMNBHOb@e@n@{Bx@QAU]Mc@@}@GOBw@Mb@BpAHp@\f@TFv@a@t@If@ORa@XcAD?J]KaA?k@FMr@w@h@[t@{@j@oAhDuCXCLDd@l@L^l@p@ZJvAQAIY@Xk@EUQGWWq@mAKGAOYm@a@k@QMiB]s@FWSM?]Ui@KQW@WR[?ICg@SaA?[tBeAnAg@d@q@\cAAs@G]D_@@g@QsA_@sA_@m@k@aCq@uBCUOSCJFACKq@_@K_@@YPVATI?CYW]Oq@I}@Qa@i@B{AGMe@U_@YUq@Ga@OWWCUMUCBJFALqA[EQJc@p@}ANPv@B|B]j@St@m@JSrAeA|@i@|@y@|AcAXYTq@l@gA?Mb@q@BSrAuBCYUIGUQQAIUOGOBKf@m@FYLS^MNW@SPSZYTM?]ECEe@W[d@YJBNe@Ra@DADQJEBMCItAkAx@[@GIk@Wg@GAc@o@w@eCQW]kAUc@NSYc@ASBENCV]bAy@HSCQJUF@RYTFDHLAn@WJWbBu@Hn@JNGGASKWHYCCFOXEd@g@`AULSd@WvAGJILABF^BRK`@MNCPF`@YLAFFJSLEnD{@vBF^RJA?DXFBZd@YFKZQBUG_@i@uHEISJCl@IHDF@{@GKIBD?AFBCECHE_@D@LLDCg@p@E@MOK,2,124.5,549.9,False,,,,
2,quitando las telarañas,19523.1,7395,10146,617.7,Ride,MountainBikeRide,10.0,10825370630,2024-02-24T07:45:58Z,2024-02-24T08:45:58Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,16,2,0,2,0,False,False,False,False,everyone,False,b12395701,"[41.46202968433499, 2.2497551143169403]","[41.46196740679443, 2.2497122827917337]",2.64,14.06,False,False,False,460.6,46.0,11572530963.0,11572530963,4F6BC4FC-41E4-40BD-BD29-289851F2301F-activity.fit,False,3,2,False,41979529,1,a10825370630,uea|FqkvLOY}@EOPDb@aAN_@bAi@Rk@hAqAXkA|@kBtCiDtI|BjKbExJg@dAK|@q@`Ap@hCrBpFqBbBJr@}@|@]z@PvAI\o@FcAjA]|@SfATv@VHKr@Sx@eAxAmAfDkDhCqD`DyBv@eBRa@Qq@rAFTOf@rAl@T`@`ANn@|@sAdBiC|GeCnDg@~CoApDDhBe@\g@jAqA|@wC`AiChBo@Fy@y@a@E{@j@sBEgAc@We@OuHToAeCYiAt@wBzCeCvCw@h@WGqAd@oAz@GKo@^k@OeAjAY}@m@]wEpA_DHqCs@eCTu@s@{De@i@c@y@uA_AmCoAsBmCyABOo@o@e@kAq@iCcCw@GLmA`Ag@WWe@YDHScAYgEgDSe@oCoCeBkDKs@VaBs@qA}@yCUFJfDaCjBIl@|BnGh@j@t@~E@~D_@lDu@KeA`@@{@OaAk@[G_@c@GoAiAOe@]JYe@JqCwAmBCuANiAs@yFkBm@NqAGsByAqDJU`AmAxBEi@wI_AwAl@i@rCJTsBBaFR_@`ASPYk@sDcB{D}@q@IiHXgD\m@hB\^W`@cAx@OP[JuC_@}Dv@aCdAu@u@iB{AmEUy@?cAZiAf@k@|EbB`@_@N_DuA{JB_DqA}AKy@f@aCl@w@y@_BqE}DaBwBgDy@_BFs@c@uCuD}AoD_AgAcAgCmAk@qBIyBgAu@y@SgBe@_Ae@oBaDwEi@yBcAOkByAkCPiBkBc@{@?aALw@p@mAFiAmAgFHuCd@OjCRb@[EiA|@s@nB?n@m@ZRf@lA\?FvAb@d@^KxAtAvA|@Xa@j@BBfATO^PEj@BUBt@lBpB`@nAZLP`Cv@tAnCMf@PnAm@TVXa@z@Gp@}@ZAjAkA`@v@t@Pl@~Av@LbBa@|C?|@_ArBp@l@G|@m@t@b@fB}@t@A~Be@tFeDpCyBpAaBxHcD`EExDwAbGtARS^PpBIbBa@~@u@fK_EP^BxBl@jCc@lO\xDb@rA|@kAzBNjAlB@tBu@vBK`ALbBz@fBdClAl@dALhBIxBtAlDPhCf@zC?v@x@jDfAlBrEjBxCvTvAzGfClHp@V`BcBl@PlDdHrKpOx@l@nBmENkBnDwIv@}@Z}@l@o@nCwAlAoA^cAXTRe@C_@fBCf@_@,2,153.8,1137.2,False,,,,
2,Primera del 2024 porfin😿,12019.5,3805,4623,337.8,Ride,MountainBikeRide,0.0,10788561014,2024-02-18T15:15:46Z,2024-02-18T16:15:46Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,3,4,0,1,0,False,False,False,False,everyone,False,b12395701,"[41.46209439262748, 2.2498608101159334]","[41.461994647979736, 2.249703397974372]",3.159,11.802,False,False,False,345.6,47.8,11534646402.0,11534646402,E826327D-8C8A-41FB-9EAA-DA215A53F514-activity.fit,False,0,2,False,41979529,1,a10788561014,cfa|FolvLcAAGNBP_@?o@^]p@cAx@Yf@wAb@wApAiApBq@tBsAzCAXc@t@T|AdAfDJrA~ApEhA~BNt@f@n@c@bB{@`AE^Hv@l@jB|A|DN@KCE^gBvAFt@{A|ASh@w@r@O`@aA`A}@dCc@Za@`As@j@OdAQXm@|BShA{@|@eArA}@j@aCZm@Ey@[iCYkA[_@m@y@[k@o@sAi@Sa@i@[[a@OAM_@oAi@}AKYc@iBNuA`@mCfAk@^y@V[Cc@b@u@Ta@\y@GuAVs@Ca@Pk@p@[|@IfBl@nEbAfBD~@k@~Bo@pBY`@S@?H{@NeCbA_@^[BMRMfA]n@m@Tu@pAeBlAyGZi@\I\@h@f@p@Hj@Pb@pAV^j@Hl@Vb@~@HfCb@lAv@`@nAP|ANLZCSADEL@SJg@Qw@p@OZQKa@_A_@SmFrA_D@yBk@gAPm@BmAs@uAK_@YcB?Ok@BWq@w@@Uu@uAMg@iAaBk@Qc@i@aAo@]m@QKc@aAA}@Qi@YU?OlADHy@hAa@fAN\J@g@Vi@C{@TeAT?JU`@MZw@Jw@v@YjABvA_@`A?RsAO_@?sAN_AF{AX_AB{@^J\d@B`BZv@`BVx@z@|@b@nAa@`@gA|@Yl@`Ax@Eb@o@|Bu@Ti@j@YxAr@`CTnBp@`@Gd@s@jDt@rAr@zBvAd@l@l@hB\Ln@Q~@zBv@b@VfA|ABz@UVHFL?j@Lv@Rp@JpAh@fADr@UhBUt@gAlBwBp@CNL^z@Ij@d@z@BxAWzAA`Bk@nAJj@o@`AiBdBmAZGt@q@^o@Bk@Rk@lATn@Cf@i@`@OPaARK@Mp@a@N_@rAe@XuAjD{Cz@iBb@WCQYWe@_By@eBe@qAAS]}@U[OAkAXKSDgAL?DUf@a@TCDS~@u@n@}@d@oAb@c@|AmC?o@YWe@q@IYz@uAt@_@z@w@H{@QaAh@k@\oARe@xB_BJiAnAaAZ}BWm@Kw@XUR@\m@P@d@g@t@UGiA_@m@Ae@_@Sg@kB|A{@\Gl@cAx@QxAuCfBDzAU~@m@xAKkGcK,2,157.8,600.3,False,,,,
2,Roco,0.0,7200,7200,0.0,RockClimbing,RockClimbing,,10699059639,2024-02-04T15:50:00Z,2024-02-04T16:50:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,1,False,41979529,1,a10699059639,,2,,,,,,,
2,Pierna,0.0,3600,3600,0.0,WeightTraining,WeightTraining,,10638440939,2024-01-24T19:00:00Z,2024-01-24T20:00:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10638440939,,2,,,,,,,
2,Bicicleta de montaña por la tarde,1345.3,488,646,18.8,Ride,MountainBikeRide,0.0,10602172545,2024-01-21T15:16:53Z,2024-01-21T16:16:53Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,False,False,everyone,False,b12395701,"[41.462096236646175, 2.249856535345316]","[41.46190093830228, 2.2497759852558374]",2.757,10.136,False,False,False,61.4,41.1,11342356410.0,11342356410,48D04D17-4198-470F-B5F1-0D85F4029DAF-activity.fit,False,0,0,False,41979529,1,a10602172545,}ea|FylvLU@CCGAM?QAE@ECAFYKQ?KCBCCCKICKU]@EJUD?BC@BZCz@BJE^HHAT@TAXKVOXBTRP@^HrBf@FC@GHg@FEHA?CLKN_@PKVALB\MHGDKFENWTWR]Hm@HKFg@LWCGSn@EXOXEb@OT,2,125.8,61.4,False,,,,
2,Roco,0.0,5400,5400,0.0,RockClimbing,RockClimbing,,10600886609,2024-01-20T17:30:00Z,2024-01-20T18:30:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,1,False,41979529,1,a10600886609,,2,,,,,,,
2,Pierna,0.0,3600,3600,0.0,WeightTraining,WeightTraining,,10578309705,2024-01-17T19:11:00Z,2024-01-17T20:11:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10578309705,,2,,,,,,,
2,Espalda/Biceps,0.0,3600,3600,0.0,WeightTraining,WeightTraining,,10578304000,2024-01-16T19:35:00Z,2024-01-16T20:35:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10578304000,,2,,,,,,,
2,la beguda,11156.6,9660,11878,221.0,Hike,Hike,,10556692084,2024-01-14T09:33:39Z,2024-01-14T10:33:39Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,2,0,1,0,False,False,False,False,everyone,False,,"[41.49887653067708, 1.8358098808676004]","[41.49894048459828, 1.835184507071972]",1.155,3.983,False,False,False,288.3,150.7,11295274141.0,11295274141,55E1E345-F641-41EA-A644-5A8A09E82987-activity.fit,False,0,1,False,41979529,1,a10556692084,{bh|FuxeJJg@MwAS[c@_@WIK{@yCu@o@Ps@B{@SwAyAa@aAi@q@a@w@_Aq@WC_@s@uBm@yAu@_BUcAk@sAt@wBEgB_BcB{BiAcAi@Ok@i@y@mAj@mGAmCo@sCUyADoAGcAWqAEsAZsCA_CFc@Kq@DgAJa@^g@BBTq@TQBc@Tq@Ak@c@cCm@kEKiB@iAWkAm@Mi@HeBb@eAi@o@cADyBSiBAeAf@aDl@aC`@_Hi@eCwA}CKi@U[}@sCW_@]MuBG_@a@WNUCg@_@{Ao@k@VOCcBf@_Ac@c@w@UQeAQ@MUFQYG@qAsD{@iAo@sED}AIe@g@cAi@kCoAwCa@uCOe@aAs@cA{@[g@u@qBa@a@aAg@o@u@g@I_@a@Oa@cCAaCc@s@NiBtA{@jBg@n@FLEG@F]Vi@LHMQP@LOAQJAZo@z@Cx@d@jADhDPZAQGEAaDi@iBFq@PWDYF?@Wz@a@NU^GNc@Z[Na@d@o@FQEO@PI@JXJDXn@CCHj@X?CXLHXGIb@Pj@EJN?XGC[KEHBEDCHDDAO@N@[?LEKMLLFAIF?GA@Lk@JT`@HVBOGPBPXVf@Yn@HPkAPUPz@C`AFJChAl@SFH@h@LRKzADZRRGREAXCUz@Tl@BREFVb@HGGOJJn@OLl@CfAFf@b@Az@iA`AKZ]Vq@^KTHj@r@ZAd@NFj@EbAJL|AVfAf@j@nAKNm@LYZAvBMfCgBlBUl@H\v@FDJCGt@]R?^p@BPMJ?XSLBD[XAJc@`@a@RO\\Ld@lAl@BZT^dAd@b@z@\z@I@L^Xl@Hf@b@XnBL^@r@v@~@j@|@\`ANHBVH@Nf@LHD`@n@t@HVD`@IPGCLBJj@HDLp@TPH\r@l@AJ|@j@jA\LL^FvBHVTz@TT\G@J?r@~@h@Vh@DdCe@^NVxAAxBXjCd@dCBd@Rn@@r@Kt@Sp@c@n@I?]jA@vBIfCG~AQbADhBJz@RvAA`@T~@G^n@tCA`E]xEXnAX\~BxAzBxCtBhBf@JxAAz@w@R?n@d@fBTp@d@tCdAd@n@r@NdAnAL\TLh@|Ab@j@jA~@pBEb@Qb@\n@?VNNVTKLHJv@d@^Pn@HBBn@Sp@Cj@OP,2,,,,,,,
2,Rocodrom,0.0,3600,3600,0.0,RockClimbing,RockClimbing,,10552478686,2024-01-13T17:34:00Z,2024-01-13T18:34:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,2,False,41979529,1,a10552478686,,2,,,,,,,
2,Pierna,0.0,4200,4200,0.0,WeightTraining,WeightTraining,,10535358170,2024-01-10T18:00:00Z,2024-01-10T19:00:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,1,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10535358170,,2,,,,,,,
2,Espalda,0.0,3600,3600,0.0,WeightTraining,WeightTraining,,10522256614,2024-01-08T16:45:00Z,2024-01-08T17:45:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,1,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10522256614,,2,,,,,,,
2,Espalda/Biceps,0.0,3600,3600,0.0,WeightTraining,WeightTraining,,10490649451,2024-01-04T07:44:05Z,2024-01-04T08:44:05Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,2,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10490649451,,2,,,,,,,
2,Entrenamiento con pesas matutino,0.0,3600,3600,0.0,WeightTraining,WeightTraining,,10477879929,2024-01-02T08:25:00Z,2024-01-02T09:25:00Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,0,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,False,False,,,,,,False,0,0,False,41979529,1,a10477879929,,2,,,,,,,
2,paseico,5714.7,6185,9561,316.7,Hike,Hike,,10450220893,2023-12-28T10:15:44Z,2023-12-28T11:15:44Z,(GMT+01:00) Europe/Madrid,3600.0,,,Spain,0,1,0,1,0,False,False,False,False,everyone,False,,"[41.48228379897773, 2.237372947856784]","[41.482833065092564, 2.237766310572624]",0.924,2.636,False,False,False,460.5,194.3,11183926727.0,11183926727,EB59D1E8-979B-4C39-A07D-123D3B082C25-activity.fit,False,0,5,False,41979529,1,a10450220893,cge|FoxsLE\DpAEP?RUj@m@n@u@j@a@f@i@XWXMVAh@GJQBCHOJU?_@NURG?]XQv@IF?JBAIRBDE`@]TORGXEF?PITC\GLMPUPGT?GCBI\GDMT?RYVCLm@`@IL@BW@Mj@SFSLBDID?FCADBGH?FC??^BDAHQDCJSJOCWNMAWLWCAFD@AF?EC@?DFKG?JACGETACDKAHBEC@?EI?FHFOAI?LC?B@CA@IBLAEDGGE@VJLNFAGAHUEQXPDTf@F??RD@?B@CQB@ES?ETJRALZ^GJPd@AHFDBVAHJ\@\Jf@ERFL?JOZSF[ESBg@^Y`@E?GVINa@ZGRg@n@e@~@IZQb@Md@@VPf@@vAK^AJ?ZEXWh@KCEOAHCKMK?Ga@W@IMGSBE^?BFAE\BVED@JSbAKRGBGMIgA{@k@I?c@WMM[k@o@g@_@cAKKGQKKk@iAg@WEBGYCNCa@FOC]`@KDCJq@Ao@A?HQ?{AGcAHy@Eg@Si@KaA?KHY?ECDB@AGST@KCFDEEBB@@EEBBE?PFJHd@@\Tj@?JDH?ZKj@DT?r@BPG|@BHEP@XEDBC?LKd@@DKFQAKPAr@BLADIFB^ENUXa@NCNFVHJBLB@@RB@BTJRTbABd@CDw@m@OEUP_@b@[r@MAGG@CBJEC?EC@D?AEAF@AECD@E?D?ADGCBAABB?CEBB?LJCFDRSJYt@}@NBv@l@D[UyAGK?KKMASYq@JQb@WHKBODIAWHIHNl@VR\Rl@JF`@t@Nh@h@\f@x@p@d@hAh@?n@FNEBLPD@BGXuAC_@BC@aABGZNPDPXNFFRD@HFTk@A?@UF[B@CKDM?QJCA[A@AK@AEeASYD]DCHU@SPe@JURSBKAEXc@D?Xk@p@u@Ne@ROJQ`@Kl@@\UA]ABCQFWADEEEY@UCME?@WEEC]KQ@QIO@KCWMIGM@GKQBINB`@Q@GCUF?@MB@?IIKI@QYYKGIJAE?BI?LF?CHDG?ECC?FBDTCz@g@ACGHD@C@JELBRa@@DLMAYBKHE@OP]ZWCCDULIJ@TUBKPCJMFYTU@GCERWXu@VWDWJUAIFMP[JYNUFADKD_@A?HM?UFC@SLW?Ij@e@H@RS^MB@HGH@PONW?SEQN]\QNSHBHOVIHUD@`@e@LGd@m@,2,,,,,,,
